,ensembl_gene_id,id,DL_OR
208,ENSMUSG00000091531,Olfr102,OR12D2
209,ENSMUSG00000095893,Olfr884,OR8B37
210,ENSMUSG00000059503,Olfr248,OR10X4
211,ENSMUSG00000045514,Olfr460,OR9A4
212,ENSMUSG00000075220,Olfr993,OR5AK23
213,ENSMUSG00000063777,Olfr1469,OR5B3
214,ENSMUSG00000071494,Olfr455,OR10AC1
215,ENSMUSG00000095901,Olfr538,OR13A24
216,ENSMUSG00000073909,Olfr688,OR56B34
217,ENSMUSG00000057443,Olfr138,OR2N1E
218,ENSMUSG00000048067,Olfr1349,OR10AM5
219,ENSMUSG00000092077,Olfr101,OR12D12
220,ENSMUSG00000075112,Olfr1211,OR4C15
221,ENSMUSG00000062199,Olfr1465,OR5B111
222,ENSMUSG00000044292,Olfr978,OR10G7
223,ENSMUSG00000050504,Olfr1323,OR5BH3
224,ENSMUSG00000059031,Olfr482,OR5P58
225,ENSMUSG00000109376,Olfr761,OR14J8
226,ENSMUSG00000092413,Olfr115,OR14J4
227,ENSMUSG00000049926,Olfr921,OR8B54
228,ENSMUSG00000060084,Olfr748,OR11H23
229,ENSMUSG00000067524,Olfr1428,OR4D6
230,ENSMUSG00000060303,Olfr1447,OR5B97
231,ENSMUSG00000047207,Olfr1495,OR10Q12
232,ENSMUSG00000048153,Olfr49,OR6E1
233,ENSMUSG00000096497,Olfr787,OR6C5C
234,ENSMUSG00000051392,Olfr1402,OR13L2
235,ENSMUSG00000049052,Olfr812,OR6C216
236,ENSMUSG00000048620,Olfr1336,OR6Z3
237,ENSMUSG00000069421,Olfr810,OR6C69B
238,ENSMUSG00000050281,Olfr630,OR51L4
239,ENSMUSG00000062037,Olfr285,OR8S16
240,ENSMUSG00000094520,Olfr635,OR51Q1
241,ENSMUSG00000068259,Olfr461,OR9A7
242,ENSMUSG00000073969,Olfr556,OR52I2
243,ENSMUSG00000095765,Olfr741,OR11G25
244,ENSMUSG00000044213,Olfr1094,OR5T9
