,ensembl_gene_id,id,DL_OR
1044,ENSMUSG00000048469,Olfr564,OR51F23
1045,ENSMUSG00000050613,Olfr125,OR14J1
1046,ENSMUSG00000058515,Olfr933,OR8D1B
1047,ENSMUSG00000061637,Olfr1457,OR5B104
1048,ENSMUSG00000078118,Olfr483,OR5P59
1049,ENSMUSG00000049041,Olfr398,OR1R1
1050,ENSMUSG00000049057,Olfr1257,OR4C10B
1051,ENSMUSG00000059303,Olfr836,OR7G21
1052,ENSMUSG00000049674,Olfr714,OR10A2
1053,ENSMUSG00000094080,Olfr8,OR7A42
1054,ENSMUSG00000081836,Olfr1180,OR4P19
1055,ENSMUSG00000073953,Olfr596,OR52E19
1056,ENSMUSG00000046396,Olfr609,OR51AF1
1057,ENSMUSG00000045824,Olfr574,OR51T4
1058,ENSMUSG00000064084,Olfr1202,OR4C105
1059,ENSMUSG00000061875,Olfr1148,OR12E13
1060,ENSMUSG00000095448,Olfr859,OR7E168
1061,ENSMUSG00000062426,Olfr304,OR14A258
1062,ENSMUSG00000073946,Olfr617,OR52Z12
1063,ENSMUSG00000094496,Olfr792,OR6C66B
1064,ENSMUSG00000046650,Olfr1440,OR5AN6
1065,ENSMUSG00000083947,Olfr122,OR10AL6
1066,ENSMUSG00000058194,Olfr1126,OR12E7
1067,ENSMUSG00000075210,Olfr1012,OR9G3
1068,ENSMUSG00000044106,Olfr868,OR7E174
1069,ENSMUSG00000093884,Olfr239,OR10H1
1070,ENSMUSG00000045559,Olfr827,OR9K7
1071,ENSMUSG00000061387,Olfr1490,OR10W1
1072,ENSMUSG00000109403,Olfr1311,OR4F58
1073,ENSMUSG00000051313,Olfr1262,OR4C127
1074,ENSMUSG00000075120,Olfr1196,OR4A66
1075,ENSMUSG00000093980,Olfr493,OR5P68
1076,ENSMUSG00000074995,Olfr201,OR5AC19
1077,ENSMUSG00000074955,Olfr1305,OR4F56
1078,ENSMUSG00000060057,Olfr193,OR5H25
1079,ENSMUSG00000063188,Olfr107,OR1O1
1080,ENSMUSG00000075160,Olfr259,OR5AQ7
1081,ENSMUSG00000067513,Olfr1436,OR5AN10
1082,ENSMUSG00000110912,Olfr1080,OR8K33
1083,ENSMUSG00000042219,Olfr631,OR51M1
1084,ENSMUSG00000045508,Olfr1367,OR2B28
1085,ENSMUSG00000045528,Olfr891,OR8C13
1086,ENSMUSG00000050603,Olfr1008,OR8K16
1087,ENSMUSG00000058807,Olfr331,OR2T49
1088,ENSMUSG00000058856,Olfr952,OR8G33
1089,ENSMUSG00000059687,Olfr108,OR1O11
1090,ENSMUSG00000060105,Olfr504,OR56B1B
1091,ENSMUSG00000060170,Olfr1371,OR2Y6
1092,ENSMUSG00000062204,Olfr1373,OR2Y8
1093,ENSMUSG00000064333,Olfr926,OR8D2B
1094,ENSMUSG00000075185,Olfr1061,OR8K25
1095,ENSMUSG00000094197,Olfr474,OR5P54
1096,ENSMUSG00000094461,Olfr883,OR8B36
1097,ENSMUSG00000095525,Olfr834,OR7G12
1098,ENSMUSG00000096554,Olfr1282,OR4K38
1099,ENSMUSG00000109806,Olfr663,OR56B2J
1100,ENSMUSG00000110991,Olfr908,OLFR908
1101,ENSMUSG00000111239,Olfr1248,OR4A75
