sample_name,exp_date,Count,Geo_Mean,Robust_CV,Median,OR,RTP1S,Gfy,Clgn,Syt1,Syt5,pCI,Total,others,gene-mix,RTP2,Syt_genes
Olfr447_R,03222023,10000,2075.0,127.0,2214.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,0.0,,
Olfr447_R_GCSMix,03222023,10000,2606.0,115.0,2998.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,0.0,,
Olfr447_GCSMix,03222023,10000,255.0,86.5,192.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,0.0,,
Olfr738,03222023,10000,117.0,70.6,108.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,0.0,,
Olfr738_R,03222023,10000,1324.0,143.0,1206.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,0.0,,
Olfr738_R_GCSMix,03222023,10000,1477.0,138.0,1386.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,0.0,,
Olfr738_GCSMix,03222023,10000,107.0,72.7,97.7,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,0.0,,
Olfr145,03222023,10000,533.0,127.0,371.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,0.0,,
Olfr145_R,03222023,10000,1221.0,186.0,998.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,0.0,,
Olfr145_R_GCSMix,03222023,10000,1651.0,156.0,1582.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,0.0,,
Olfr145_GCSMix,03222023,10000,528.0,129.0,371.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,0.0,,
Olfr1019,03222023,10000,2729.0,139.0,2911.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,0.0,,
Olfr1019_R,03222023,10000,12431.0,121.0,15782.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,0.0,,
Olfr1019_R_GCSMix,03222023,10000,12528.0,104.0,15600.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,0.0,,
Olfr1019_GCSMix,03222023,10000,2229.0,109.0,2359.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,0.0,,
Olfr1079,03222023,10000,272.0,80.3,219.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,0.0,,
Olfr1079_R,03222023,10000,2664.0,153.0,2793.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,0.0,,
Olfr1079_R_GCSMix,03222023,10000,3055.0,150.0,3299.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,0.0,,
Olfr1079_GCSMix,03222023,10000,283.0,83.9,224.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,0.0,,
Olfr1450,03222023,10000,336.0,69.6,293.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,0.0,,
Olfr1450_R,03222023,10000,305.0,70.0,266.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,0.0,,
Olfr1450_R_GCSMix,03222023,10000,330.0,75.9,281.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,0.0,,
Olfr1450_GCSMix,03222023,10000,321.0,75.6,273.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,0.0,,
Olfr727,03222023,10000,163.0,76.3,134.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,0.0,,
Olfr727_R,03222023,10000,228.0,90.2,168.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,0.0,,
Olfr727_R_GCSMix,03222023,10000,264.0,96.6,186.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,0.0,,
Olfr727_GCSMix,03222023,10000,148.0,71.8,127.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,0.0,,
RhopCI,03262023,10002,218.0,65.1,182.0,0,0,0.0,0.0,0.0,0.0,2000.0,2000,,,,
Olfr1219,03262023,9999,374.0,74.1,305.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,,,
Olfr1219_R,03262023,10000,3347.0,147.0,3604.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,,,
Olfr1219_R_GCSMix,03262023,10000,3717.0,119.0,4263.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,,,
Olfr1219_GCSMix,03262023,10000,332.0,64.7,286.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,,,
