Sample_name,Count,GeoMean,Rcv,Median,exp_date,OR,RTP1S,Gfy,Clgn,Syt1,Syt5,others,tube,Total,pCI,gene-mix,Rho ,Syt_genes,1-Antibody,tubes,total,RTP2
OR7D4,10000.0,-634.0,-68.9,-538.0,05112022_Lu,1000.0,100.0,450.0,450.0,,,,FACS_Tube_015_P3_OR7D4_RTP1S_Gfy_Clgn.fcs,2000.0,,,,,,,,
Olfr1377+RGC,10000.0,1361.0,102.0,1913.0,05112022_Lu,1000.0,100.0,300.0,600.0,,,,FACS_Tube_016_P3_Olfr1377_RTP1S_Gfy_HighClgn.fcs,2000.0,,,,,,,,
Olfr1377+RGC,10000.0,1122.0,113.0,1515.0,05112022_Lu,1000.0,50.0,475.0,475.0,,,,FACS_Tube_017_P3_Olfr1377_LowRTP1S_Gfy_Clgn.fcs,2000.0,,,,,,,,
Olfr1377+RGC,10000.0,802.0,142.0,916.0,05112022_Lu,1500.0,50.0,225.0,225.0,,,,FACS_Tube_018_P3_Olfr1377_LowRTP1S_LowGfy_LowClgn.fcs,2000.0,,,,,,,,
Olfr1377+RGC,10000.0,1011.0,136.0,1225.0,05112022_Lu,1500.0,50.0,50.0,400.0,,,,FACS_Tube_019_P3_Olfr1377_LowRTP1S_LowGfy_Clgn.fcs,2000.0,,,,,,,,
RhopCI,10000.0,131.0,62.4,123.0,04012023_Lu,1000.0,,,,,,,FACS_Tube_004_Rho pCI.fcs,1000.0,1000.0,,,,,,,
Olfr1377,10000.0,261.0,62.9,226.0,04012023_Lu,500.0,,,,,,,FACS_Tube_005_Olfr1377.fcs,500.0,,,,,,,,
Olfr1377+R,10000.0,1643.0,77.7,1822.0,04012023_Lu,500.0,100.0,,,,,,FACS_Tube_006_Olfr1377_Rtp1s.fcs,600.0,,,,,,,,
Olfr1377_1000ng+Rtp1s+GCSMix,10000.0,2437.0,82.4,2969.0,04012023_Lu,1000.0,100.0,225.0,225.0,225.0,225.0,,FACS_Tube_007_Olfr1377_1000ng_Rtp1s_GCSMix.fcs,2000.0,,,,,,,,
Olfr1377+Rtp1s+GCSMix,10000.0,2233.0,96.5,2739.0,04012023_Lu,500.0,100.0,225.0,225.0,225.0,225.0,,FACS_Tube_008_Olfr1377_Rtp1s_GCSMix.fcs,1500.0,,,,,,,,
Olfr1377+GCSMix,10000.0,261.0,68.1,225.0,04012023_Lu,500.0,,225.0,225.0,225.0,225.0,,FACS_Tube_009_Olfr1377_GCSMix .fcs,1400.0,,,,,,,,
Olfr1377_1000ng+Rtp1s+GCSMix_optimized,10000.0,2105.0,83.3,2480.0,04012023_Lu,1000.0,100.0,300.0,66.0,300.0,66.0,,FACS_Tube_010_Olfr1377_1000ng_Rtp1s_GCSMix_optimized.fcs,1832.0,,,,,,,,
Olfr1377+Rtp1s+GCSMix_optimized,10000.0,2349.0,93.4,2882.0,04012023_Lu,500.0,100.0,300.0,66.0,300.0,66.0,,FACS_Tube_011_Olfr1377_Rtp1s_GCSMix_optimized.fcs,1332.0,,,,,,,,
Olfr1377+GCSMix_optimized,10000.0,280.0,68.8,241.0,04012023_Lu,500.0,,300.0,66.0,300.0,66.0,,FACS_Tube_012_Olfr1377_GCSMix_optimized.fcs,1232.0,,,,,,,,
Olfr1047,10000.0,133.0,67.1,123.0,04012023_Lu,500.0,,,,,,,FACS_Tube_013_Olfr1047.fcs,500.0,,,,,,,,
Olfr1047+Rtp1s,10000.0,311.0,107.0,213.0,04012023_Lu,500.0,100.0,,,,,,FACS_Tube_014_Olfr1047_Rtp1s.fcs,600.0,,,,,,,,
Olfr1047+Rtp1s+GCSMix,10000.0,240.0,81.5,182.0,04012023_Lu,500.0,100.0,225.0,225.0,225.0,225.0,,FACS_Tube_015_Olfr1047_Rtp1s_GCSMix.fcs,1500.0,,,,,,,,
Olfr1047+GCSMix,10000.0,127.0,63.3,120.0,04012023_Lu,500.0,,225.0,225.0,225.0,225.0,,FACS_Tube_016_Olfr1047_GCSMix .fcs,1400.0,,,,,,,,
Olfr1047+Rtp1s+GCSMix_optimized,10000.0,235.0,83.4,174.0,04012023_Lu,500.0,100.0,300.0,66.0,300.0,66.0,,FACS_Tube_017_Olfr1047_Rtp1s_GCSMix_optimized.fcs,1332.0,,,,,,,,
Olfr1047+GCSMix_optimized,10000.0,126.0,64.0,118.0,04012023_Lu,500.0,,300.0,66.0,300.0,66.0,,FACS_Tube_018_Olfr1047_GCSMix_optimized.fcs,1232.0,,,,,,,,
Olfr728,10000.0,139.0,65.6,127.0,04012023_Lu,500.0,,,,,,,FACS_Tube_019_Olfr728.fcs,500.0,,,,,,,,
Olfr728+Rtp1s,10000.0,145.0,72.8,125.0,04012023_Lu,500.0,100.0,,,,,,FACS_Tube_020_Olfr728_Rtp1s.fcs,600.0,,,,,,,,
Olfr728+Rtp1s+GCSMix,10000.0,139.0,64.8,126.0,04012023_Lu,500.0,100.0,225.0,225.0,225.0,225.0,,FACS_Tube_021_Olfr728_Rtp1s_GCSMix.fcs,1500.0,,,,,,,,
Olfr728+GCSMix,10000.0,100.0,73.9,95.1,04012023_Lu,500.0,,225.0,225.0,225.0,225.0,,FACS_Tube_022_Olfr728_GCSMix .fcs,1400.0,,,,,,,,
Olfr728+Rtp1s+GCSMix_optimized,10000.0,138.0,67.1,123.0,04012023_Lu,500.0,100.0,300.0,66.0,300.0,66.0,,FACS_Tube_023_Olfr728_Rtp1s_GCSMix_optimized.fcs,1332.0,,,,,,,,
Olfr728+GCSMix_optimized,10000.0,124.0,67.8,114.0,04012023_Lu,500.0,,300.0,66.0,300.0,66.0,,FACS_Tube_024_Olfr728_GCSMix_optimized.fcs,1232.0,,,,,,,,
Olfr1110,10000.0,139.0,66.5,129.0,04012023_Lu,500.0,,,,,,,FACS_Tube_025_Olfr1110.fcs,500.0,,,,,,,,
Olfr1110+Rtp1s,10000.0,334.0,117.0,222.0,04012023_Lu,500.0,100.0,,,,,,FACS_Tube_026_Olfr1110_Rtp1s.fcs,600.0,,,,,,,,
Olfr1110+Rtp1s+GCSMix,10003.0,425.0,137.0,265.0,04012023_Lu,500.0,100.0,225.0,225.0,225.0,225.0,,FACS_Tube_027_Olfr1110_Rtp1s_GCSMix.fcs,1500.0,,,,,,,,
Olfr1110+GCSMix,10000.0,109.0,74.7,100.0,04012023_Lu,500.0,,225.0,225.0,225.0,225.0,,FACS_Tube_028_Olfr1110_GCSMix .fcs,1400.0,,,,,,,,
Olfr1110+Rtp1s+GCSMix_optimized,10000.0,359.0,122.0,228.0,04012023_Lu,500.0,100.0,300.0,66.0,300.0,66.0,,FACS_Tube_029_Olfr1110_Rtp1s_GCSMix_optimized.fcs,1332.0,,,,,,,,
Olfr1110+GCSMix_optimized,10000.0,136.0,67.1,123.0,04012023_Lu,500.0,,300.0,66.0,300.0,66.0,,FACS_Tube_030_Olfr1110_GCSMix_optimized.fcs,1232.0,,,,,,,,
Olfr545,10000.0,136.0,69.7,117.0,04012023_Lu,500.0,,,,,,,FACS_Tube_031_Olfr545.fcs,500.0,,,,,,,,
Olfr545+Rtp1s,10000.0,244.0,100.0,173.0,04012023_Lu,500.0,100.0,,,,,,FACS_Tube_032_Olfr545_Rtp1s.fcs,600.0,,,,,,,,
Olfr545+Rtp1s+GCSMix,10000.0,143.0,73.0,123.0,04012023_Lu,500.0,100.0,225.0,225.0,225.0,225.0,,FACS_Tube_033_Olfr545_Rtp1s_GCSMix.fcs,1500.0,,,,,,,,
